song_writer,song_name,lyrics,song_link
Frozen 2,All Is Found,"Where the north wind meets the sea There's a river full of memory Sleep, my darling, safe and sound For in this river all is found In her waters, deep and true Lie the answers and a path for you Dive down deep into her sound But not too far, or you'll be drowned Yes, she will sing to those who hear And in her song all magic flows But can you brave what you most fear Can you face what the river knows Where the north wind meets the sea There's a mother full of memory Come, my darling, homeward bound When all is lost, then all is found",http://www.disneyclips.com/lyrics/frozen2-all-is-found.html
Frozen 2,All Is Found (end credits),"Where the north wind meets the sea There's a river full of memory Sleep, my darling, safe and sound For in this river all is found All is found When all is lost, then all is found In her waters, deep and true Lie the answers and a path for you Dive down deep into her sound But not too far, or you'll be drowned She will sing to those who hear And in her song all magic flows Can you brave what you most fear Can you face what the river knows Until the river's finally crossed You'll never feel the solid ground You have to get a little lost on your way to being found Where the north wind meets the sea There's a mother full of memory Come, my darling, homeward bound When all is lost, then all is found All is found All is found",http://www.disneyclips.com/lyrics/frozen2-all-is-found-end-credits.html
Frozen 2,Get This Right,"[Kristoff:] It's not you, it's me The timing and the setting aren't what I thought they'd be There's probably someone better for you out there anyway Maybe I just need some space No, I should just come out and say I wanna get this right, baby I wanna thrill you in the way you deserve I wanna blow your mind, darlin' I'm just havin' trouble gettin' up the nerve I wanna give you what you want I wanna be the man you choose I wanna sweep you off your feet Without puking on your shoes Maybe I'll do better in the candlelight I gotta get this right No, no, no, stay right where you are I'll put out the fire, my love I wanna make you swoon, baby I wanna rock you with my righteous romance I wanna set a mood, darling But I'm sweatin' through the seat of these pants [Anna:] Are you okay? [Kristoff:] I had planned to read a poem I thought I'd play a little lute Ooh, here's a thing: I've got a ring I didn't bring, oh, shoot! So this went very well, good night I didn't get this right [Anna:] Kristoff, it's okay, come back! [Kristoff:] I've never been in love before I don't know what I'm doing I've never been too worldly in the ways of woman-wooing I'm freezing up, I'm blowing it - not what I meant to do I know how crazy lucky I am to love you Gorgeous, funny, brave and brilliant Beautiful, won't-give-up-on-anyone you, oh I wanna get this right, baby I wanna love you in the best way I can I wanna make you cry (in a good way) By proving I could be your perfect man I meant to write it in the sky I meant to get down on one knee I planned to really try to be the opposite of me But, Anna, I will love you with all might I promise you, in here, I've got that part right Or maybe we should do this on some other night [Anna:] Wait! Lord Kristoff of Arendelle, will you marry me? [Kristoff:] You got that right, baby [Both:] I'm gonna thrill you in the way you deserve We're gonna get this right, darling As long as we're together, we won't lose our nerve [Kristoff:] I'm gonna be the man you want [Anna:] Guess what? You already are [Kristoff:] I wanna make your life so good [Anna:] You're doing pretty good so far [Both:] We got the hard part over with, now hold me tight We're gonna get this right",http://www.disneyclips.com/lyrics/frozen2-get-this-right.html
Frozen 2,Home,"I smell that salty breeze blowing through the fjord I hear those creaky ships as old board meets old board I breathe in the place I live and wonder what else can I give This home, my home Wandering through the town with everyone doing all of their stuff Somewhere in my heart I feel I've not yet done enough For these people I know, this place that I love so My home, my home I whistle as I walk, the lovely smell of kransekake wafting out of the baker's door The merchants haggling over fish remind me I have what I wish 'Cause I'm not alone anymore I'm grateful for this castle and for everything we've got Especially my family, we've all been through a lot I know how fragile things can be If I lost them, I'd lose me They're my ocean, they're my shore I wanna give them more They're my home, my home Bless this happiness we've found Bless this good and solid ground Our home, our home Our home, our home, our home Our home, our home I'm home",http://www.disneyclips.com/lyrics/frozen2-home.html
Frozen 2,Into the Unknown,"Ah, ah, ah, ah Ah, ah, ah, ah, ah Ah, ah, ah, ah, ah, ah, ah I can hear you, but I won't Some look for trouble, while others don't There's a thousand reasons I should go about my day And ignore your whispers, which I wish would go away, oh, oh, oh Ah, ah, ah, ah Ah, ah, ah, ah, ah, ah You're not a voice; you're just a ringing in my ear And if I heard you (which I don't) I'm spoken for, I fear Everyone I've ever loved is here within theses walls I'm sorry, secret siren, but I'm blocking out your calls I've had my adventure; I don't need something new I'm afraid of what I'm risking if I follow you Into the unknown Into the unknown Into the unknown Ah, ah, ah, ah Ah, ah, ah, ah, ah, ah What do you want 'cause you've been keeping me awake Are you here to distract me so I make a big mistake Or are you someone out there who's a little bit like me Who knows deep down I'm not where I'm meant to be Every day's a little harder, as I feel my power grow Don't you know there's part of me that longs to go Into the unknown Into the unknown Into the unknown Ah, ah, ah, ah Ah, ah, ah, ah Oh, are you out there? Do you know me? Can you feel me? Can you show me? Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah, ah Where are you going? Don't leave me alone How do I follow you Into the unknown",http://www.disneyclips.com/lyrics/frozen2-into-the-unknown.html
Frozen 2,Into the Unknown (end credits),"Ah, ah, ah, ah, ah Ah, ah, ah, ah, ah, ah, ah Into the unknown Into the unknown Into the unknown Ah, ah, ah, ah, ah I can hear you, but I won't Some look for trouble, while others don't There's a thousand reasons I should go about my day And ignore your whispers, which I wish would go away Oh, oh, oh You're not a voice; you're just a ringing in my ear And if I heard you (which I don't) I'm spoken for, I fear Everyone I've ever loved is here within theses walls I'm sorry, secret siren, but I'm blocking out your calls I've had my adventure; I don't need something new I'm afraid of what I'm risking if I follow you Into the unknown Into the unknown Into the unknown Ah, ah, ah, ah, ah Ah, ah, ah, ah, ah, ah, ah What do you want 'cause you've been keeping me awake Are you here to distract me so I make a big mistake Or are you someone out there who's a little bit like me Who knows deep down I'm not where I'm meant to be Every day's a little harder, as I feel your power grow Don't you know there's part of me that longs to go Into the unknown Into the unknown Into the unknown Ah, ah, ah, ah, ah Ah, ah, ah, ah, ah Oh, oh, oh, are you out there? Do you know me? Can you feel me? Can you show me? Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah Where are you going? Don't leave me alone How do I follow you Into the unknown",http://www.disneyclips.com/lyrics/frozen2-into-the-unknown-end-credits.html
Frozen 2,Lost in the Woods,"Again you're gone off on a different path than mine I'm left behind, wondering if I should follow You had to go, and of course it's always fine I probably could catch up with you tomorrow But is this what it feels like to be growing apart When did I become the one who's always chasing your heart Now I turn around and find I am lost in the woods North is south, right is left when you're gone I'm the one who sees you home But now I'm lost in the woods And I don't know what path you are on I'm lost in the woods Up till now the next step was a question of how I never thought it was a question of whether Who am I if I'm not your guy Where am I if we're not together Forever Now I know you're my true north 'Cause I am lost in the woods Up is down, day is night when you're not there Oh, you're my only landmark So I'm lost in the woods Wondering if you still care But I'll wait for a sign (For a sign) That I'm your path 'Cause you are mine (You are mine) Until then I'm lost in the woods I'm lost in the woods I'm lost in the woods",http://www.disneyclips.com/lyrics/frozen2-lost-in-the-woods.html
Frozen 2,Lost in the Woods (end credits),"Again you're gone off on a different path than mine I'm left behind, wondering if I should follow You had to go, and of course it's always fine I probably could catch up with you tomorrow But is this what it feels like to be growing apart When did I become the one who's always chasing your heart Now I turn around and find I am lost in the woods North is south, right is left when you're gone I'm the one who sees you home But now I'm lost in the woods I don't know what path you are on Lost in the woods Up till now the next step was a question of how I never thought it was a question of whether Who am I if I'm not your guy Where am I if we're not together Forever Now I know you're my true north 'Cause I am lost in the woods Up is down, day is night when you're not there Oh, you're my only landmark So I'm lost in the woods Wondering if you still care But I'll wait for a sign (For a sign) That I'm your path 'Cause you are mine (You are mine) Until then I'm lost in the woods I'm lost in the woods I'm lost in the woods",http://www.disneyclips.com/lyrics/frozen2-lost-in-the-woods-end-credits.html
Frozen 2,Reindeer(s) Are Better Than People (Cont.),"Reindeers are better than people Sven, why is love so hard You feel what you feel And those feelings are real Come on, Kristoff, let down your guard",http://www.disneyclips.com/lyrics/frozen2-reindeers-are-better-than-people.html
Frozen 2,Show Yourself,"Every inch of me is trembling And not from the cold Something is familiar Like a dream I can reach but not quite hold I can sense you there Like a friend I've always known I'm arriving And it feels like I am home I have always been a fortress Cold secrets deep inside You have secrets too But you don't have to hide Show yourself I'm dying to meet you Show yourself It's your turn Are you the one I've been looking for all of my life Show yourself I'm ready to learn Ah, ah, ah, ah Ah, ah, ah, ah, ah I've never felt so certain All my life I've been torn But I'm here for a reason Could it be the reason I was born I've always been so different Normal rules did not apply Is this the day Are you the way I finally find out why Show yourself I'm no longer trembling Here I am I've come so far You are the answer I've waited for all of my life Oh, show yourself Let me see who you are Come to me now; open your door Don't make me wait one moment more Come to me now; open your door Don't make me wait one moment more (Where the north wind meets the sea) (There's a river full of memory) Come, my darling, homeward bound I am found Show yourself Step into your power Throw yourself into something new You are the one you've been waiting for all of your life Show yourself Ah, ah, ah, ah Ah, ah, ah, ah Ah, ah, ah, ah",http://www.disneyclips.com/lyrics/frozen2-show-yourself.html
