,coefs,coefs_with_stopword
another,-0.55196694983362,
oo,-0.550706818123358,-0.5840927620604903
lumiere,-0.5462385800625821,-0.43581905298267754
bowl,-0.5429024180353985,-0.5612766966740986
sea,-0.542261398542749,-0.3433590301186382
woods,-0.5394749226872636,-0.4976359257803421
zero,-0.535868575024524,-0.5279650320501774
zingela,-0.5343804084947408,-0.5489862927141715
stop,-0.5336537825432655,-0.6841397671081553
iago,-0.5325511754503103,-0.5233384347809866
prince,-0.5278281883108369,-0.6071457954748057
sleeps,-0.5273749196829034,-0.5396640770386925
report,-0.5258354512781297,-0.5905527375292364
guitar,-0.5245503325638898,-0.6406905743874457
look,-0.5235117648618661,-0.21112228802033853
mor,-0.5233742638261203,-0.5637146115075015
stork,-0.5207953113016021,-0.631093035558806
working,-0.5197183655014573,-0.39037964648868395
merry,-0.5181903696990978,-0.608866499512091
step,-0.516362588013632,-0.34416907713467404
light,-0.5144220581589144,-0.6726989983853595
shiny,-0.513860866815775,-0.5014916563981346
pocahontas,-0.5129568907332294,-0.6435593175981043
things,-0.5113958930064657,-0.5214638330541423
forever,-0.5075629600428974,-0.6194861888373848
heave,-0.5035900023901079,-0.4657397817895707
chase,-0.5014955081884561,-0.5357804534373436
show,-0.5010216328263128,
england,-0.4991236956263721,-0.31125940074726094
pitch,-0.4977385040767095,-0.45848470662533647
cut,-0.4975264957148893,-0.5609148359064444
lead,-0.49681845552759135,-0.34841283651024907
hard,-0.49660234862901564,-0.50642526254568
make,-0.49658681085731304,-0.4867584504857898
tail,-0.49546792575939236,-0.5385306586505508
yesterday,-0.4927320875440948,-0.5847642863994906
diddle,-0.492718057941488,-0.5498365108186605
rat,-0.4922616532302234,-0.6486294948328851
father,-0.4903121593031457,-0.39876041650843647
island,-0.48919249274356413,-0.2969830286840419
crowd,-0.48918023045683606,-0.3931649926685967
drip,-0.486385741394056,-0.4161629409491395
york,-0.48603490930127013,-0.6157685118264858
head,-0.4859173997281961,-0.6660262966835993
air,-0.4830571242228282,-0.8916495219503363
wide,-0.4825062894992954,-0.566526000277644
does,-0.4824540733971979,-0.5309190285948441
lion,-0.4823331476949131,-0.42703895810845954
shut,-0.4813410548724403,-0.5041337123084267
meg,-0.48047178642252614,-0.5485882401150635
rapunzel,-0.4795980783474802,-0.38893350041359553
tomorrow,-0.47734335550900825,-0.8426804002267271
mermaid,-0.4772098202501742,-0.5515313510332301
ay,-0.47504711138383393,-0.649834903597286
dumb,-0.4732709244659938,-0.5089094160239407
bluddle,-0.4731070298234153,-0.40742107500071556
uddle,-0.4731070298234153,-0.40742107500071556
poissons,-0.4724655978826039,-0.3882303708115681
hee,-0.4714155015202314,-0.6717300317485503
se,-0.4703119202096722,-0.5318942359098592
rules,-0.46876981056235345,-0.41039362953459635
hega,-0.4685650325785936,-0.4899669740200887
flounder,-0.46690199537791605,-0.6359849285931124
upon,-0.46676855854588906,
shines,-0.46585549297560913,-0.431102336422115
bobbing,-0.46464755656425516,-0.6143743550894533
steady,-0.46424169222168804,-0.31700328518206994
alive,-0.4640444774448229,-0.5053816502330566
beast,-0.46277196040809965,-0.6898543981408246
change,-0.4627650865438696,-0.1592419525963974
timon,-0.46198667201320326,-0.4978521122102513
odie,-0.46186088362334765,-0.4991842924087335
rather,-0.4615696274104922,
disgrace,-0.4606803536973103,-0.5558368025010506
hela,-0.46022134457929825,-0.4896536425821241
elephant,-0.4571582016451895,-0.5313782890297734
perfect,-0.455147888966133,-0.5713244663116175
actor,-0.4549572916637964,-0.4697135783440633
wait,-0.4541523564867408,-0.6677615629696627
sense,-0.4540811374034717,-0.6008128943227542
sung,-0.4532424484270245,-0.40082993064908984
