,coefs,coefs_with_stopword
gente,-0.19864459660542522,-0.24947228392681192
search,-0.19863636833967452,-0.21423698138980138
pleasant,-0.19832877047950903,-0.11454837914164143
want,-0.19827133971632288,0.0651446784216474
wall,-0.19794012460819252,-0.239319566086672
dog,-0.19783886629818676,-0.18503160926611575
scared,-0.1974417308135701,-0.16313448398620584
grunt,-0.19718829422929862,-0.22145727657346365
paint,-0.19687331445809125,-0.27767634814232467
triton,-0.19616224227153217,-0.3461149949499798
pair,-0.19547799130122623,-0.1314037249951107
until,-0.1953480388885592,
please,-0.194933839035613,
bayou,-0.1946833348980245,-0.3835674365457216
act,-0.19428724862960778,-0.09683474971127035
changing,-0.19406790775646035,-0.22096729664687967
mufasa,-0.1940488120973063,-0.2702998625326112
squeak,-0.1940193030698584,-0.24539307704039914
water,-0.19398839678889723,-0.06931445186238833
conceal,-0.19393775821074694,-0.1948521795111026
sleeves,-0.19350891813470317,-0.17940251026747844
siamese,-0.192385962195179,-0.26344987908623846
mysterious,-0.19207053093894472,-0.18806872023852306
brief,-0.19177038231026877,-0.2508493643239792
ignore,-0.19165544781235283,-0.22194256249610603
rule,-0.19145815182211542,-0.337395286061182
shower,-0.19077052014658263,-0.12381736719925263
meets,-0.19043265552361144,-0.22023211140884794
penny,-0.19027218430695375,-0.11164106138858232
showed,-0.18991399751903396,-0.1509763534967528
sell,-0.18957397227568504,-0.22052798605564514
sha,-0.18949746484146884,-0.20195091462724823
fine,-0.18928088348196603,0.0004529672990312289
hark,-0.1891447320617963,-0.21763518877600074
reflection,-0.18881391496169608,-0.12676507739030365
bag,-0.1887093582959885,-0.23266876761421587
state,-0.18786181805768637,-0.31461752249685837
give,-0.18747362855430555,
circle,-0.18732355273262383,-0.2801224593304687
pluck,-0.1870046568909553,-0.12251511232343953
he,-0.1869407995215124,
thin,-0.18623526300696577,
zip,-0.18614824623755824,-0.2343296000653013
asleep,-0.18573546746234476,-0.3244158178613378
tower,-0.18482824126519304,-0.227914678424091
reason,-0.18481562626219478,-0.27165672002010377
scrub,-0.18354941492408422,-0.17009475547241018
left,-0.1821884765940009,0.0049190339012605
spare,-0.18188099185229592,-0.159153305846431
shows,-0.18168445594693666,-0.20901160469594215
recommend,-0.18161206518300882,-0.162386667951247
permission,-0.18140998415363957,-0.16481854850010721
jaws,-0.18090751933716834,-0.32876167113186616
buy,-0.1801963892268997,-0.21060632569857057
dozen,-0.18015945123790647,-0.19023227955369507
harmony,-0.17967549599771024,-0.0667049351218372
living,-0.17955196593230022,-0.04825920115487199
bookseller,-0.1793358583716852,-0.1949208033159823
brighter,-0.17914206391083676,-0.22968946559024994
fault,-0.17847280907676233,-0.3147672945500341
generous,-0.1783533474696164,-0.16036599346806685
perhaps,-0.17813949660503825,
common,-0.177361914661233,-0.21874887106945798
mr,-0.17725541748998844,-0.2674224321402743
provincial,-0.1766210245057825,-0.2600157200670589
bubbles,-0.1761104814133231,-0.20426529619251801
answers,-0.175820560328469,-0.25597826214381647
buggy,-0.17559724733522666,-0.21513532375498232
thug,-0.17504703502608804,-0.1827222847251513
help,-0.17498852424280126,-0.1061556995452469
humming,-0.17470004014297727,-0.6275554383537414
cheroo,-0.17461378655546417,-0.205443702608438
liked,-0.17446890359702588,-0.2525102269141681
wandering,-0.17434679427736594,-0.19901676097998539
voor,-0.17402264600192982,-0.19217930617506948
straight,-0.17367726136794584,-0.10835618986772219
bring,-0.17356084415494547,-0.24249314172234301
bat,-0.17344457268710095,-0.23141521627322048
dum,-0.1725467907172325,-0.21594989571710677
wel,-0.1723970759942996,-0.24723944033856365
buenas,-0.17212270819564604,-0.2309275095432566
escape,-0.17200831669074343,-0.21133276770722245
grumpy,-0.17188574778405363,-0.1501714773745096
solid,-0.17184216649534556,-0.10853021197100178
jiggle,-0.17146179491746685,-0.17893806161225972
guv,-0.17144789514902878,-0.19624864810265596
enamabala,-0.17067156464049685,-0.16414876825983266
nengw,-0.17067156464049685,-0.16414876825983266
carefully,-0.16996169829125063,-0.20676080512616382
sa,-0.16989467737379488,-0.09318066320434851
walrus,-0.16987897633131027,-0.17803837548448817
silent,-0.1694640802032276,-0.16394037192205915
hoe,-0.16912265151715353,-0.18789897972191716
woah,-0.16907022057112728,-0.3365901910858771
looking,-0.16896373545469984,-0.38785181206021524
gym,-0.16894411168155926,-0.11377902749834752
souls,-0.16873611373495645,-0.21766937016410706
jag,-0.16841677638317915,-0.18707379064693713
respect,-0.16826740393311113,-0.15287895460115167
pear,-0.16807666105126398,-0.17258090199925546
coo,-0.16777962751812237,-0.12180849113019365
monkeys,-0.1676123237612191,-0.15319285034986002
lu,-0.16740475120130524,-0.18132886611222052
shore,-0.1673911811268904,-0.19652385851445192
tonight,-0.16702348892550944,-0.21216015002781974
toy,-0.16694062957798572,-0.2172777970441123
dad,-0.16692266112518678,-0.21547566460345483
es,-0.16689642921544176,-0.2262544765268059
goof,-0.16679938105252118,-0.1279832059817398
thank,-0.1667569727238641,-0.07922581701627388
steal,-0.16666790056409866,-0.11056613138097479
aside,-0.1661660143978025,-0.1757932206724362
claws,-0.16577887026003552,-0.3154233419733196
put,-0.16570785080595474,
could,-0.1653107287244201,
pushed,-0.16472691028191364,-0.21712386855465415
worries,-0.16459754218772976,-0.1682836316813176
chimney,-0.16427443072655618,-0.20005616240473897
ursula,-0.16415977290447448,-0.21341847461690505
bees,-0.1639407254587702,-0.1669728878310371
maurice,-0.16386166888677745,-0.48982246200434165
chats,-0.16377420117116223,-0.1497779350347169
bear,-0.1637321535523966,-0.17163415333511917
sala,-0.16368258907461156,-0.19114345770004904
gadoola,-0.16368258907461156,-0.19114345770004904
menchicka,-0.16368258907461156,-0.19114345770004904
van,-0.16364078548492617,-0.17038693660913046
bottom,-0.1631139984603741,
square,-0.16305612824492913,-0.19610826956559052
socks,-0.1629337312166636,-0.14651024125789663
boy,-0.16266461085685716,-0.09567173349178482
really,-0.1625642916548639,-0.022893856153730074
comfort,-0.16234853002930727,-0.217372524903368
ababwa,-0.16165751161654052,-0.1742701959221794
wasnt,-0.16162736827931765,-0.23484732315020687
hate,-0.1615525302041541,-0.06116374762441426
making,-0.16152825388356085,-0.44738268629491307
icy,-0.16131857507198064,-0.26861074634030946
woo,-0.16099011546148811,-0.1422521675039198
daffodils,-0.16012709148408147,-0.17436735747378723
robin,-0.159641089919987,-0.13254564879302033
bond,-0.15858926006497392,-0.3000214289658016
maan,-0.15851607621334324,-0.16460796234676436
ben,-0.15847181877093786,-0.17162512280992462
fulfill,-0.1583448770506647,-0.41402552557842826
pal,-0.15804129181690288,-0.13876051133001457
huge,-0.15778988370475971,-0.19874993042439715
beer,-0.15738268085792917,-0.18770268015123237
eyes,-0.15730277118278185,-0.047712183179335524
fetch,-0.15729276802307493,-0.19861987678903822
combine,-0.1570721326662986,-0.18123521113281077
start,-0.1564864677350154,-0.15545385015623292
find,-0.15617637666694364,
stuck,-0.1561106911086223,-0.13325872507436037
waters,-0.15600009356158084,-0.19905499829799767
asking,-0.15559747562218068,-0.13995221033481933
havin,-0.15534795424680076,-0.12814878727496182
fire,-0.15529646830767382,
around,-0.1551718467216363,
flower,-0.1548676752019547,-0.133583337174982
back,-0.15436207035200972,
style,-0.15417801846556006,-0.20104904065643797
slow,-0.15377527246249892,-0.17841240311055456
na,-0.15344525205948906,-0.2009582016584443
heeyahee,-0.1534071148597661,-0.16321788086070804
heya,-0.1534071148597661,-0.16321788086070804
double,-0.15334989661589,-0.18096190216132602
har,-0.1531061603483447,-0.1700670824063065
ice,-0.15304397526384927,-0.24862441192862267
pretty,-0.15266147533995622,0.021831038366593808
fret,-0.1523689668656824,-0.14405461799489805
gifts,-0.15210058266929652,-0.2498270153023686
magic,-0.15181780780095255,-0.07257032384134006
receive,-0.1515088024939498,-0.2908792868850903
taste,-0.15106569967350114,-0.15319207631713497
noticed,-0.15092802093213625,-0.1961411799722593
legs,-0.150883800724142,-0.20077736543291796
loyalty,-0.15030181233657405,-0.1266611790043657
possess,-0.14970154641465894,-0.1604549240317463
splash,-0.14891155774460602,-0.21748661033079988
cats,-0.14852185325886497,-0.1812625144998749
ever,-0.1484640559797438,
bigger,-0.1481064344972084,-0.12823201281201563
toys,-0.14804126800392128,-0.3022700031172242
distance,-0.14796435422557166,-0.1893242304717789
rainy,-0.14779654287764024,-0.3126964265093807
little,-0.1476904244833468,-0.34826606886750927
destiny,-0.14760221339098473,-0.17030849364232858
down,-0.14689904397241293,
riding,-0.14684631218827657,-0.21233298594335895
die,-0.14676894253740472,-0.1280729049857316
box,-0.1466841305140925,-0.15337387441171177
bums,-0.1465173426011383,-0.20866105513809619
wiser,-0.14649091039864187,-0.3514175632230393
laws,-0.14586664428990329,-0.14132098704281468
cabbages,-0.14561055114112306,-0.152604321843847
portabello,-0.14541904766593874,-0.1512093848382904
stowed,-0.14541904766593874,-0.1512093848382904
status,-0.14535708289493626,-0.29687093612649385
brush,-0.14515538436772463,-0.00385612148918002
fill,-0.14506621666771943,
pay,-0.14451597528701593,-0.17879014491151005
rdame,-0.14447079846402539,-0.20945466800721763
recu,-0.14447079846402539,-0.20945466800721763
felt,-0.14446387238170574,-0.27965865111034827
strength,-0.14389230440028294,-0.4150570683701602
lala,-0.14382952354988274,-0.1471811119196434
ilele,-0.14382952354988274,-0.1471811119196434
youth,-0.14374967260753022,-0.24087025924073036
london,-0.14350999639941847,-0.022254128975776777
hunting,-0.14347499320887472,-0.1473965051241325
language,-0.14334654481333847,-0.1914038257930379
missed,-0.1433257421234389,-0.12370363267028282
bunch,-0.14325957346764284,-0.19932080567183158
powerful,-0.14246825458328607,-0.18671434867086106
impressed,-0.14243009788109062,-0.12393153661066725
omar,-0.14199369997002878,-0.34236525207117274
beyond,-0.14184342619134496,
tub,-0.14143460667648936,-0.1141347863202806
peculiar,-0.14117787890248548,-0.1725581400670116
settlers,-0.14116954350332953,-0.32530994247779055
buddies,-0.14112102876153262,-0.16314290788256317
clopin,-0.1409032783866348,-0.1515348457096365
frollo,-0.1409032783866348,-0.1515348457096365
claw,-0.14062183611879364,-0.11746655137241524
guaranteed,-0.140533464949236,-0.1279331844643234
thief,-0.13924126633160713,-0.16113784135282277
kleuren,-0.13921811680154386,-0.1537434449400556
zijn,-0.13921811680154386,-0.1537434449400556
riches,-0.1389305581503098,-0.14209293213734792
sire,-0.13842861002123003,-0.1834696947087054
alright,-0.13840620031934642,-0.2633021094062176
yes,-0.1378011958572569,-0.03417102568669376
haft,-0.1377955443135102,-0.15306037416567583
aldrig,-0.1377955443135102,-0.15306037416567583
sink,-0.13749546224241577,-0.1014234177322742
calling,-0.13745154196267378,-0.01363592202596453
penguins,-0.13679957612322954,-0.14242425703260808
grass,-0.13640477571154677,-0.11707306443845039
americans,-0.13627359828911143,-0.3286928125591782
tick,-0.13627317131621913,-0.16540808776591903
ka,-0.13605867528179705,-0.17966952792819962
clam,-0.13566426172447021,-0.26502660932336186
ruler,-0.13549711344014584,-0.1809608989593802
flair,-0.13534310694267904,-0.13892003045969167
brains,-0.13533042729327543,-0.10858561749870896
flies,-0.13475093384990577,-0.21457324363773816
right,-0.13448643062730567,-0.302930541747062
dreamin,-0.1343088383941381,-0.10249061168407918
controlled,-0.13420164372937643,-0.14804767127327137
searching,-0.13413506604977238,-0.15829232546729152
holiday,-0.13378519876936518,-0.1865274181990613
gentlemen,-0.13369492188067422,-0.17022809213110157
myself,-0.13341700124338346,
worse,-0.13320765754874736,-0.12529255679950957
grande,-0.13294135513931127,-0.08325427727584825
nightmare,-0.13248637665237623,-0.1606249774869602
has,-0.13215225557311738,
strangers,-0.13214330032631028,-0.09853882775669859
upper,-0.1320745831465333,-0.025435948769559458
showman,-0.13183994755924353,-0.13363698209462993
sold,-0.1315187237755535,-0.09757322534220886
know,-0.13137620959182014,-0.07467267145782969
courage,-0.13133417921651777,-0.17381591478733674
full,-0.1310561129653135,
bitter,-0.13105082688153977,-0.2125457466928268
ages,-0.13043116079658365,-0.13562470600895776
track,-0.1302379371770801,-0.04603633767271658
bite,-0.13000344447818596,-0.17183074528000353
prepared,-0.12910133356056935,-0.14090977065721355
isolation,-0.12900621224901715,-0.14149276750464646
brass,-0.1289819415241713,-0.10406608493936662
order,-0.12847643937305597,-0.08601136719958458
hearing,-0.1280914571226744,-0.10718787622554475
unfortunate,-0.12804737469527083,-0.10882024388272106
denying,-0.12802460685903289,-0.14460324306081473
central,-0.12771084132882948,-0.28027526372404776
yay,-0.127534501574243,-0.07034342726802646
empty,-0.12709326935419582,
ratcliffe,-0.12700829758036308,-0.1842599040306916
plus,-0.12694149480177827,-0.12377664397044207
wishing,-0.126824893993008,-0.15115209788308573
being,-0.1262463798363428,
adored,-0.12620271977783754,-0.2077977176261116
mama,-0.1257981409164631,-0.13333056428816778
handsome,-0.12513916826644683,-0.17272967748328533
seasons,-0.12495067535429163,-0.13065785973869032
ubuse,-0.12479547376689831,-0.15840441381734136
ngo,-0.12479547376689831,-0.15840441381734136
goal,-0.12473857363616667,-0.14687880837918382
trouble,-0.12449351073643139,-0.1369195406520782
odd,-0.12425307080380282,-0.17192515322988358
else,-0.12407438118604039,
worlds,-0.12365786344818464,-0.20119325994430118
raw,-0.1235989458572063,-0.15537731825168466
te,-0.12321323309607424,-0.16733628141203521
caviar,-0.1231220186280407,-0.10724776041586152
flap,-0.12291612693738717,-0.12884861774051434
birdie,-0.12291612693738717,-0.12884861774051434
railing,-0.12291612693738717,-0.12884861774051434
och,-0.12248492827867576,-0.1360536659250452
ways,-0.12200766307848449,-0.1335921746319307
yous,-0.12189563473060527,-0.12433028741244291
timing,-0.12168532141618879,-0.14294260184102664
carpenter,-0.1213421259509359,-0.12717026820320582
idea,-0.12121630738401257,-0.16971182320764658
helping,-0.1210295872374057,-0.10636193795512253
wack,-0.1206997833836021,-0.20596162301025067
inch,-0.12065768762368179,-0.14115633371496014
hem,-0.12065426340851133,-0.141130110510029
rejoice,-0.12064868624922734,-0.15505914827736872
confused,-0.12053480474485047,-0.17976166623734235
creatures,-0.12046010853116658,-0.25254592960790023
nuestra,-0.1203923320533545,-0.1745455566726814
canci,-0.1203923320533545,-0.1745455566726814
tu,-0.1203923320533545,-0.1745455566726814
elbows,-0.11976002668197028,-0.11396911979383588
shake,-0.11957901788458467,-0.1417145823552991
board,-0.1192541289141558,-0.07664837214971071
nerves,-0.11896347892282456,-0.16808912783162722
tip,-0.11859630806675917,-0.13224663795010802
fears,-0.11818537874204108,-0.1659984703893587
wishes,-0.1179657693848869,-0.18997579854159252
likes,-0.11793291760532491,-0.14682971443726064
enormous,-0.11737445916840705,-0.19565143752703495
lift,-0.11727056005023109,-0.1668500963705885
pr,-0.11698767669774575,-0.10981322596729173
seven,-0.11605863829191868,-0.06684939918581378
frown,-0.11603837030105141,-0.20292879765708385
thanks,-0.11576235461462363,-0.10319095735792373
slice,-0.115691726024729,-0.08182188380638097
fate,-0.11567611986439119,-0.04807236640067404
affection,-0.11487241404232862,-0.06629428633631423
survive,-0.11436876074979467,-0.15604842553771417
rich,-0.11414163769770186,-0.22064551859183396
mystery,-0.11412488116693405,-0.18777640001012857
con,-0.11360391676362908,
bashful,-0.11348673354314485,-0.07630128358575831
trap,-0.11340785902578451,-0.1199771246857119
aim,-0.11334898951432873,-0.17690766572695704
means,-0.1132347012688826,-0.12717163863805703
twitter,-0.11312252116637873,-0.10586026410902775
brand,-0.11308723122539585,-0.14871633807214052
blood,-0.11262342321700522,-0.16368796346316072
boot,-0.11255207674076559,-0.10262282236833598
south,-0.11217369438910807,-0.07126774999462065
ease,-0.11210611338917521,-0.10660934692667756
hold,-0.11161328161575493,0.016836489521137213
extend,-0.11127145613073489,-0.09013928232855833
silver,-0.1100703581367045,-0.2157977833939605
waited,-0.10998924558046629,-0.035397728238563866
changin,-0.1098980085969898,-0.19272801692351688
east,-0.10953277075892708,-0.10365265327759997
mention,-0.10945084550910299,-0.15918689913249257
grind,-0.10932039672039312,-0.11917778971925583
iyo,-0.10919603954603603,-0.1386038620901737
quo,-0.10901781217120218,-0.22265320209487038
cos,-0.1085855821498179,-0.1374642349017161
travel,-0.10835509560268428,-0.13723050897197214
snakes,-0.10800064303616716,-0.1394993593153026
dust,-0.10788883960788928,-0.06961320804862775
strut,-0.10741464779036101,-0.11307645876350512
whose,-0.10730176018248083,
som,-0.10717431224384127,-0.11904695768441455
bird,-0.10696622715635752,-0.11386284900624967
starboard,-0.10687943300230994,-0.11614405569877087
plan,-0.10669661374796197,-0.20788974160706314
kingdom,-0.10574105907227338,-0.11819069576043666
floating,-0.1056426931230279,-0.21467882881465855
bottomless,-0.10529142280904859,-0.10800669491930706
worry,-0.10489025999523276,-0.16524742076317195
reached,-0.10449743225047786,-0.03561353718877041
heeft,-0.10441358760115789,-0.11530758370504168
leert,-0.10441358760115789,-0.11530758370504168
nooit,-0.10441358760115789,-0.11530758370504168
ik,-0.10441358760115789,-0.11530758370504168
maar,-0.10441358760115789,-0.11530758370504168
mensen,-0.10441358760115789,-0.11530758370504168
diamond,-0.10426427817416406,-0.09134684398885584
faced,-0.10423699894593719,-0.146290053394141
begins,-0.10415213198062001,-0.05990615762165824
breathe,-0.10396266603258922,-0.042652627542336306
piglet,-0.1036481488128871,-0.10425968716258682
parlor,-0.10333031705683024,-0.09417239405413604
stays,-0.10330819793999232,-0.08545356346927814
drums,-0.10313785600838599,-0.19761054153794766
since,-0.10294259008696183,
toll,-0.10241264427360133,-0.11362397250707221
merpeople,-0.10201416397918335,-0.11085705088841315
three,-0.10195167465959663,
lookin,-0.10138415280037691,-0.17238949657032182
copper,-0.10128464847051577,-0.14084459982555345
russian,-0.10119510784985464,0.005913540736787626
link,-0.10085664185702581,-0.1733528899618868
clever,-0.10067441182288786,-0.056306767935457434
babkak,-0.10045118129921721,-0.29503855693750064
sadness,-0.10036886743512806,-0.22662726447126835
ape,-0.10028343501383377,-0.07570399057655897
plain,-0.09980630545312039,-0.13632905453173205
filthy,-0.0997435458707078,-0.09929485269120596
heavenly,-0.09932887543821217,-0.052944575687693854
witchcraft,-0.09840147559398983,-0.11353899576155241
maxie,-0.09832268684469772,-0.14471183290726422
incredible,-0.09828095545350461,-0.06690486925814351
kassim,-0.09828041330451795,-0.26999041110373107
smoke,-0.09800474794314565,-0.25448051859901333
snow,-0.09775249850244104,-0.1072040683355277
moments,-0.09723592803614564,-0.08913286012481468
twins,-0.09707370076074871,-0.10173621456256467
warble,-0.09697555295435682,-0.06677942534637503
journey,-0.09695057888185518,-0.018567003413756458
deje,-0.0963138656426836,-0.1396364453381451
latir,-0.0963138656426836,-0.1396364453381451
puedo,-0.0963138656426836,-0.1396364453381451
existir,-0.0963138656426836,-0.1396364453381451
amor,-0.0963138656426836,-0.1396364453381451
bye,-0.09585425118949562,-0.1340999089523759
partners,-0.09580340148687863,-0.007134583341227796
tae,-0.09515895705929459,-0.10249356572863662
finish,-0.09494750022587867,-0.09656056138014413
spells,-0.09480411221806175,-0.11066978977887088
trees,-0.09479023691046119,-0.12043480121191712
real,-0.09437871726316092,0.21269388847972753
luk,-0.09435122235084072,0.0
last,-0.09331621150794892,
flew,-0.09324084094669406,-0.08325427727584825
course,-0.09266890069184969,0.07730264184867365
mile,-0.09259996953259739,-0.17189758042784675
climb,-0.09249438968034768,-0.12235821569246229
highly,-0.09248259039765652,-0.051241918197741154
hot,-0.09197947895316444,-0.10841670417448593
kan,-0.0918636962090068,-0.10204024944378388
vad,-0.0918636962090068,-0.10204024944378388
important,-0.0914880789736151,-0.09365387803272543
enjoy,-0.09107676548964921,-0.09812320516256741
nothing,-0.09101351569015176,
le,-0.09089095227237246,-0.10830463290807124
jump,-0.0907613111068373,-0.03621993318619514
evil,-0.0906076959652071,-0.11928866113911263
mob,-0.09052722419367733,-0.08779673724051203
trail,-0.0903400684604887,-0.037230283341118504
slide,-0.09032716979710824,-0.11937643547845185
waste,-0.09015157730183863,0.1332463591302436
healthy,-0.08978930117907508,-0.1229445110906704
race,-0.08978690238883752,-0.07323128939057628
round,-0.08977528765638287,-0.06878431910545345
anywhere,-0.08968260150177859,
tickle,-0.08926795098126411,-0.09051220911907852
secrets,-0.08922053262734574,-0.09789239767142602
peep,-0.08908984895494097,-0.13135915621641772
frog,-0.08867765937035485,-0.09102534005396044
woh,-0.08867765937035485,-0.09102534005396044
burn,-0.08840866748142563,-0.16654656511630883
barely,-0.08826299263526696,-0.08667860447457655
yer,-0.08705367905690632,-0.12272705630344523
blows,-0.08703946866146094,-0.04592885744978399
size,-0.08700205869492007,-0.055174559926537664
balloon,-0.08680055925648687,-0.09684609981799351
crown,-0.08655081691999228,-0.03280625298921826
destroy,-0.08599572028805759,-0.16690930815893196
trick,-0.08562954570295302,-0.14897119663954408
pool,-0.08520568636834437,-0.08004297164865232
ma,-0.08517106745361475,-0.06645742140820746
were,-0.08462028244759746,
sometimes,-0.08449588349306267,
beware,-0.08417383793167273,-0.16178343715373317
bloomin,-0.08412620434417317,-0.06691873097324408
service,-0.08373872458733835,-0.10069008579455957
none,-0.08336235988714902,
weak,-0.08324719332646818,-0.10999746253203815
backsons,-0.08291851905030968,-0.08340774973006947
twilight,-0.08287422984870318,-0.03269009955554572
rhyme,-0.08237318650534632,-0.14048657446593898
cakes,-0.08226531801861645,-0.19547734705101366
hide,-0.08219941820650281,0.04187409821841037
cute,-0.08213321418277954,-0.06322257289425089
move,-0.08212582119280562,
despair,-0.08210464179037924,-0.11222521230512622
bones,-0.08174641895822837,-0.18443353588002942
noses,-0.0816716788360043,-0.09200914035456514
lies,-0.08130682458980597,0.18200986450177564
laid,-0.0812967417578032,-0.1576944194158086
gypsy,-0.08088648304146938,-0.17848481417290624
plants,-0.08067452335247567,-0.13232023304106325
prime,-0.08036924414888814,-0.18547519950036523
colder,-0.08035240717900749,-0.05223283900074278
odds,-0.0803515495208027,-0.12821947633024305
outcast,-0.08033145427312362,-0.07211644515681528
without,-0.08003350088641545,
feels,-0.0798971817583444,-0.4512738821721001
especially,-0.07967370531812673,-0.07170002438553615
christmas,-0.0795618881799185,-0.3917038144176196
spit,-0.07950681269302716,-0.17012188499815167
sharp,-0.07937277918312333,-0.1447045239946388
rob,-0.07927298873753671,-0.045137828055219376
follow,-0.07924979254914707,-0.18259787127846697
lazy,-0.07917971787703426,-0.11310268409161861
mouth,-0.07903468988814426,-0.059433300124037275
chip,-0.07903060634173245,-0.019594768761870017
sixty,-0.0790146820245055,
billy,-0.0789613374996736,-0.07231853913149981
fog,-0.07894929165262567,-0.1883050081502853
sights,-0.07846994772380096,-0.13588994723253173
khathi,-0.07799717110431144,-0.09900275863583836
bo,-0.07799717110431144,-0.09900275863583836
treasure,-0.07776742594558186,-0.10163709013256075
share,-0.07763586232995082,-0.3673207252784474
indeed,-0.07730903992782341,
nu,-0.07655308017417235,-0.08503354120315325
det,-0.07655308017417235,-0.08503354120315325
uses,-0.07636434370850774,-0.07788958827216733
compare,-0.07633465075990467,-0.08394472910182532
outdoors,-0.07603583421729655,-0.14353137916952236
hurt,-0.07551571789891466,-0.15747179938357325
fit,-0.0755040486203644,-0.07930420023056971
brain,-0.07475295865699205,-0.02926409711282757
cheaper,-0.0747457668825645,-0.15229483744465283
finest,-0.07467343620245534,-0.11433692396569739
knee,-0.07432312240182876,0.07482148364045696
tain,-0.07409721421975467,-0.0638095922676071
build,-0.07383626481336543,-0.1617976681474604
seldom,-0.07357489233790482,-0.12455267327570532
clouds,-0.07354341709191049,-0.08145386022067971
locked,-0.0731753516878108,-0.012088878591973773
theme,-0.07314524439616218,-0.051760007384986984
master,-0.07291678506519568,-0.1257769543407889
callay,-0.07280527557056153,-0.0763021609219235
calloo,-0.07280527557056153,-0.0763021609219235
wing,-0.07273380829525013,-0.1260636989366747
chuckle,-0.07268680874189691,-0.10154920247153686
giggle,-0.07268680874189691,-0.10154920247153686
underwear,-0.07268069119524373,0.024322228653345865
plots,-0.07240511664630114,-0.10284225912726953
fishes,-0.07198105064280001,-0.04112642232687923
completely,-0.07152305624790904,-0.006607607605950888
tricks,-0.07137342596322874,-0.14636669601963975
tongue,-0.07129425625411717,-0.1618584897196446
wayward,-0.07112155858337393,-0.07211285894052864
face,-0.07053689465674487,-0.10077169453221967
dress,-0.0704938340823227,-0.1490961254064444
already,-0.07027010397111505,
rise,-0.07023940557253856,-0.17853019854250674
foul,-0.07007050574769048,-0.15176058317422583
year,-0.07003717905023399,-0.10587561061019693
humans,-0.06994797129554056,-0.062493972358310834
cake,-0.0696403905534222,-0.08242865126597326
ours,-0.06906682671535952,
salty,-0.06895110283507352,-0.10509947386127083
sandy,-0.06878481764746348,-0.09262423162906955
against,-0.0682303093176592,
feeling,-0.06803320155530429,-0.11158156710924855
hmm,-0.06794847324060566,-0.0927766490940627
score,-0.06764988021075602,-0.05716383512933915
raise,-0.06717037189689375,-0.2390245500128847
sparkle,-0.06706942422787666,-0.04241952952186459
rip,-0.06690936924962204,-0.031136377733939388
strife,-0.06660277733308335,0.062062566461446686
battle,-0.06648741729267604,-0.010159332893709516
speed,-0.06580793993039241,-0.19091101751753692
homeward,-0.06570459075905612,-0.0865551117372773
bit,-0.06563585000317732,-0.09725374488184577
his,-0.06498687129404665,
pound,-0.06381345158355745,-0.04157148012288191
phrase,-0.06364663060804925,-0.0779770924033258
also,-0.06361456267294742,
slaughter,-0.0634393047061964,-0.06832904381909109
appreciate,-0.06305475574112265,-0.09305995511362548
having,-0.06296326557602991,-0.08908910059960368
supercalifragilisticexpialidocious,-0.06251984673369004,-0.08040136182904226
horrible,-0.06246792053846048,-0.10447187182714689
unwinding,-0.06244118424420794,-0.09337415311015625
thando,-0.062397736883449156,-0.07920220690867068
nkosi,-0.062397736883449156,-0.07920220690867068
sifikile,-0.062397736883449156,-0.07920220690867068
xolo,-0.062397736883449156,-0.07920220690867068
gleaming,-0.06228304888373026,-0.015981796911965676
vous,-0.06223617116333191,-0.06594126176326773
tigger,-0.06218888928773226,-0.0625558122975521
kanga,-0.06218888928773226,-0.0625558122975521
roo,-0.06218888928773226,-0.0625558122975521
neck,-0.06210294792987195,-0.0654435241322995
speaking,-0.06174068672735514,-0.05527804280768124
crush,-0.06173402924597642,0.04761080191737628
tear,-0.061684356801059374,-0.08757157102576879
holding,-0.061291902592039385,0.12891340126282716
din,-0.06124246413933788,-0.0680268329625226
pot,-0.06105735461719791,-0.038056900793931474
fact,-0.060948019133154674,0.01967165918872061
tight,-0.060811514975752906,-0.037407510805613664
tis,-0.06057234061824743,-0.08462433539294739
pink,-0.060489943075158294,-0.04081592334784637
longer,-0.06036060176818387,-0.0814456115453728
gentle,-0.05997064749260374,0.005141810500989233
shove,-0.059965193488687125,-0.044326972386654874
below,-0.059716660568074426,
hearts,-0.05947874011114519,-0.07795479206200773
hungry,-0.05917491207967372,-0.0531025459968678
date,-0.05911227694710999,0.00413170011814603
smilin,-0.059078102191009056,-0.07204051263409281
piece,-0.059024940824275035,-0.09517645661348433
latest,-0.05895490429128501,-0.0662107890127349
setting,-0.05888794032200668,-0.12623245716456122
vermin,-0.05887758721573918,-0.046953446593216236
marry,-0.05840085294011721,-0.21719596812989395
pen,-0.058260722471926325,-0.0808932352782524
sneak,-0.05725025360439581,-0.024704831373969047
creme,-0.05688492983723714,-0.11827200995347892
shame,-0.05622563415467571,-0.04168665550267836
listen,-0.05618621996448311,0.16643644708292454
diff,-0.05617455111588651,-0.0610563259843415
cha,-0.055922840608032306,-0.07377554675560395
number,-0.05579432869973963,0.05827492963736121
meant,-0.05537511431416006,0.04307342689331248
cheap,-0.05506268505452046,-0.07658952043170814
burning,-0.05486106451373042,-0.2178726861078973
letting,-0.0548018573085671,-0.03392231381088938
hanging,-0.05473702177598608,-0.10688224338445146
aware,-0.05450546064128324,0.03774607609339151
