song_writer,song_name,lyrics,song_link,american_songbook,disney_renaissance
Aladdin,Are You In Or Out? Lyrics,"
                    Sa'luk:
I remember a time
When crime was sublime
There was plenty of loot in the lair
We'd plunder and pillage
And ransack a village
With nary a worry or care
Then along came this king
With his soft-hearted dream
But he ratted us out in the end
So rally the troops!
We were meant to re-group
And return to our roots once again!
Are you in or out?
Gotta know without a doubt
I'm the one you need for a dirty deed
I'm the best, success is guaranteed
Are you men or mice?
Take a slice of my advice!
You want a fearless leader, one that's strong and stout
Better vote for me
Are you in or out?

Thives:
We used to be smart, yes
Horrendously heartless
In ravaging raids, we were rough
We knew what we had
To be blissfully bad
Then Cassim brought this sensitive stuff!
And we strayed from the path
Of our rigorous wrath
Now we're taking a bath in the dust!
But we'll reclaim our winnings
Our humble beginnings
In turmoil and torture, we trust!

Sa'luk:
Are you in or out?
Double-crossers or devout?
Put your faith in me
Pretty soon you'll see
I'm the prince of generosity
Are you foe or friend?
Here's the path I recommend
You want a ride to fame?
I've got the fastest route;
What's it gonna be?
Thieves:
We'll go robbing in all the right places,
From Agrabah dunes to Bali
Imagine the fear on their faces
When we drop by for cookies and tea

Sa'luk:
Come along, boys!
Follow me!
Are you in or out?
If you're with me, give a shout (Yay!)
I'll lead you all the way
Into the glory days
We'll begin a life of crime that pays

Thieves:
Are you out or in?
Make your choice now, sink or swim!

Sa'luk:
You can stick with me, or stay behind and pout
What's it gonna be?
Consider carefully
Are you in or out?                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/are+you+in+or+out_20643462.html,0,1
Aladdin,Arabian Nights Lyrics,"
                    Oh I come from a land, from a faraway place
Where the caravan camels roam
Where it's flat and immense
And the heat is intense
It's barbaric, but hey, it's home

[Original first verse (1992-93):]
Oh I come from a land, from a faraway place
Where the caravan camels roam
Where they cut off your ear
If they don't like your face
It's barbaric, but hey, it's home }

When the wind's from the east
And the sun's from the west
And the sand in the glass is right
Come on down
Stop on by
Hop a carpet and fly
To another Arabian night

Arabian nights
Like Arabian days
More often than not
Are hotter than hot
In a lot of good ways

Arabian nights
'Neath Arabian moons
A fool off his guard
Could fall and fall hard
Out there on the dunes                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/arabian+nights_20643463.html,0,1
Aladdin,A Whole New World Lyrics,"
                    I can show you the world
Shining, shimmering, splendid
Tell me, princess, now when did
You last let your heart decide?

I can open your eyes
Take you wonder by wonder
Over, sideways and under
On a magic carpet ride

A whole new world
A new fantastic point of view
No one to tell us no
Or where to go
Or say we're only dreaming

A whole new world
A dazzling place I never knew
But when I'm way up here
It's crystal clear
That now I'm in a whole new world with you
Now I'm in a whole new world with you

Unbelievable sights
Indescribable feeling
Soaring, tumbling, freewheeling
Through an endless diamond sky

A whole new world
Don't you dare close your eyes
A hundred thousand things to see
Hold your breath - it gets better
I'm like a shooting star
I've come so far
I can't go back to where I used to be

A whole new world
Every turn a surprise
With new horizons to pursue
Every moment red-letter
I'll chase them anywhere
There's time to spare
Let me share this whole new world with you

A whole new world
That's where we'll be
A thrilling chase
A wondrous place
For you and me                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/a+whole+new+world_20597930.html,0,1
Aladdin,A Friend Like Me (Danish - En Ven Som Mig ) Lyrics,"
                    Ham Ali Baba havde røverne
Sheherazade tusind eventyr
Men mester du har held
Nu kan du selv
Bli' både troldmand og en magisk fyr
Nu har du stød I handsken, dynamit,
Du har en bombe der gåare af på tid
Nu har du punch - slå til -
Juhu - et hit!
Tag bare lampen I din hånd og gnid
Så siger jeg...

Mester Aladdin, sig, hvad ka' jeg gør' for dig?
Lad mig ta' bestilling, skrive ned...
Du har aldrig haft en ven som mig
Ha ha ha

Livet er din restaurant, og
Jeg er til for dig
Du kan hviske hvad som helst du vil
Du har aldrig haft en ven som mig

Vi si'are vi har den bedste service
Du er boss, Mogul og Tzar
Sæt ønsker frem
Og de gåare hjem,
Hva' med en ekstra håndfuld Baklawa?

Frit valg på søjle ""A""
Imens er ""B"" på vej
Ta' hvad du vil for det' jeg til
Du har aldrig haft en ven som mig

Wawawa - mo maj
Wawawa - ÅH nej
Wawawa - hahaha
Skiddeli  diddeli  wauw

Kan du bruge dit hoved?
Tag nu bare fat
Kan du finde noget
Nede I din hat?
Kun et enkelt pust
Og se så déare! (ha-ha)
Ka' du så sige abrakadabra?
Sådan her?
Og forsvinde I et gyldent skæare?

Sid ikke der og hæng med ørerne
Jeg sørger for din fredagsbøn bli'are hørt
Jeg åbner portene og dørene
Mit job er garanteret veludført
Jeg venter kun på startsignal fra dig
Sig dine ønsker og jeg gåare I gang
Din ønskeseddel er lang, tror jeg
Så gnid på lampen første gang og så

Mester Aladdin, tal,
Sig hvad du ønsker dig
Jeg fåare dig op
På livets top
Du har aldrig haft en ven
Aldrig haft en ven
Du har aldrig haft en ven
Aldrig haft en ven
Du har aldrig
Haft en
Ven som mig
Ha ha ha
Ha ha ha
Du har aldrig haft en ven som mig
Ha!                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/a+friend+like+me+danish+en+ven+som+mig_20952458.html,0,1
Aladdin,My Love Is Not A Game Lyrics,"
                    [Verse:]
there is something I got to tell you I got to let you
know I really like you all I'm asking for is yout to
listen what I got to say your comprhension.
[Chorus:]
my love is not a game you cannot dribble it
And play or toss it up high you cannot pass
it or throw it because my love is not a game.
[Verse 2:]
I like you I hope you like me to because anything
is so possible you know I can't wait untill I see you
that is when it start because I love you
(chorus1x)
[Verse 3:]
now where together that won't ever stop I like you and you
like me to I like you so much more than you ever know
because my love is real my love is a big deal.
_chorus 3x)
because my love is not a game
My love is not a game
love, is not, a game oooooooo oh                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/my+love+is+not+a+game_20643453.html,0,1
Aladdin,One Jump Ahead (Reprise) Lyrics,"
                    Riff-raff, street rat.
I don't buy that.
If only they'd
Look closer.

Would they
See a poor boy?
No siree.
They'd find out
There's so much
More to me.                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/one+jump+ahead+reprise_20643449.html,0,1
Aladdin,Noite Da Arábia (Arabian Nights) Lyrics,"
                    Venho de um lugar,
Onde sempre se vê,
Uma carava passar

É uma imensidão,
Um calor em exaustão
Como é bárbaro o nosso lar

Sopram ventos do leste, e o sol vem do oeste
Seu camelo quer descansar

Pode vir e pular, no tapete voar
Noite Árabe vai chegar...

A noite da Arábia, e o dia também
É sempre tão quente que faz com que a gente se sinta tão bem

Tem um belo luar, e orgias demais
Quem se destrair, pode até cair, ficar para trás...                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/noite+da+arbia+arabian+nights_20643452.html,0,1
Aladdin,You're Only Second Rate Lyrics,"
                    I must admit,
Your parlor tricks are amusing
I bet you've got a bunny
Under your hat!
Now here's your chance
To get the best of me,
Hope your hand is hot!
C'mon, clown,
Let's see what you've got!
You can try to slam me
With your hardest stuff
But your double whammy
Isn't up to snuff
I'll set the record straight
You're simply out of date
You're only second rate!
You think your cat's a meanine,
But your tiger's tame
You've got a lot to learn
About the genie game
So for your education,
I'll reiterate
You're only second rate!
Men cower at the power
In my pinky
My thumb is number one
On every list
But if you're not convinced
That I'm invincible,
Put me to the test!
I'd love to lay this rivalry to rest!
Go ahead and zap me
With the big surprise
Snap me in a trap,
Cut me down to size
I'll make a great escape
It's just a piece of cake
You're only second rate!
You know, your hocus-pocus
Isn't tough enough
And your mumbo-jumbo
Doesn't measure up
Let me pontificate
Upon your sorry state
You're only second rate!
Zaba-caba-dabra!
Granny's gonna grab ya!
Alakazam-da-mus
And this thing's bigger than the both of us!
So spare me your tremendous scare!
You look horrendous in your underwear!
And I can hardly wait
To discombobulate
I'll send ya back and packing
In a shipping crate
You'll make a better living
With a spinning plate
You're only second rate!                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/youre+only+second+rate_20657339.html,0,1
Aladdin,Welcome To The Forty Thieves Lyrics,"
                    Congratulations Bub
You've joined the club and ev'rybody here agrees
We got thefinest blend of nearly honest men
Welcome to the forty thieves

A fraternity of thugs that you can trust
There's no thing up our eighty sleeves
Got lots a grub to share
Pull up on easy chair
Welcome to the forty thieves

Now you get to lie and cheat
Never have to brush your teeth
But we always aim to please
Care for one another, you'll never miss your mother
(Oh, I love you guys!)

Scheming up a scam out on the lam
Takin' whatever we please
And if you like to lurk, you're gonna love this work
Welcome to the forty thieves

Welcome to the forty thieves

Together we're the perfect team
Larceny is in the genes
Dare to share the family dream
Live a life or leisure, counting all your treasure

As an honorary member of the gang
That no one alive ever leaves
Ya gotta snatch and sneak or else your future's bleak
We got a life time contract that you're bound to keep
Ya wanna save your skin, you'd better fit right in
Wel, Wel, Welcome to the
Wel, Wel, Welcome to the forty thieves                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/welcome+to+the+forty+thieves_20643440.html,0,1
Aladdin,One Jump Ahead Lyrics,"
                    [Aladdin:] Gotta keep
One jump ahead of the breadline
One swing ahead of the sword
I steal only what I can't afford
(That's Everything!)

One jump ahead of the lawmen
That's all, and that's no joke
These guys don't appreciate I'm broke

[Crowd:] Riffraff! Street rat! Soundrel! Take that!

[Aladdin:] Just a little snack, guys
[Crowd:] Rip him open, take it back, guys
[Aladdin:] I can take a hint, gotta face the facts
You're my only friend, Abu!
[Crowd:] Who?
Oh, It's sad Aladdin hit the bottom
He's become a a one-man rise in crime
I'd blame parents except he hasn't got 'em
[Aladdin:] Gotta eat to live, gotta steal to eat
Tell you all about it when I got the time!

One jump ahead of the slowpokes
One skip ahead of my doom
Next time gonna use a nom de plume
One jump ahead of the hitman
One hit ahead of the flock
I think I'll take a stroll around the block

[Crowd:] Stop, thief! Vandal! Outrage! Scandal!

[Aladdin:] Let's not be too hasty
[Lady:] Still I think he's rather tasty
[Aladdin:] Gotta eat to live, gotta steal to eat
Otherwise we'd get along
[Crowd:] Wrong!

[Aladdin:] One jump ahead of the hoofbeats
(Vandal!)
One hop ahead of the hump
(Street rat!)
One trick ahead of disaster
(Scoundrel!)
They're quick, but I'm much faster
(Take that!)
Here goes, better throw my hand in
Wish me happy landin'
All I gotta do is jump                ",https://www.lyricsfreak.com/a/aladdin/ + /a/aladdin/one+jump+ahead_20643450.html,0,1
